region,code_circ,nom_circ,nb_bv,inscrits,votants,taux_participation,bulletins_nuls,suf_exprimes,blancs_nombre,blancs_pct,parti,nom_candidat,voix_obtenues,pourcentage,est_elu,page_source
TONKPI,191,"GBANGBEGOUINE, GBONNE ET GOUINE, COMMUNES ET SOUS-PREFECTURES",60,15101,7589,50.25,239,7350,94,1.28,INDEPENDANT,BLE HUYO KANO,182,2.48,NON,32
TONKPI,191,"GBANGBEGOUINE, GBONNE ET GOUINE, COMMUNES ET SOUS-PREFECTURES",60,15101,7589,50.25,239,7350,94,1.28,INDEPENDANT,ZOH ZRANWE JEAN YVES,104,1.41,NON,32
TONKPI,192,"SIPILOU ET YORODOUGOU, COMMUNES ET SOUS- PREFECTURES",47,14298,6588,46.08,84,6504,88,1.35,INDEPENDANT,DIOMANDE DRO JOEL,1865,28.67,OUI,33
TONKPI,192,"SIPILOU ET YORODOUGOU, COMMUNES ET SOUS- PREFECTURES",47,14298,6588,46.08,84,6504,88,1.35,INDEPENDANT,KEITA ADAMA,690,10.61,NON,33
TONKPI,192,"SIPILOU ET YORODOUGOU, COMMUNES ET SOUS- PREFECTURES",47,14298,6588,46.08,84,6504,88,1.35,INDEPENDANT,DIOMANDE JEAN-LOUTY,1570,24.14,NON,33
TONKPI,192,"SIPILOU ET YORODOUGOU, COMMUNES ET SOUS- PREFECTURES",47,14298,6588,46.08,84,6504,88,1.35,RHDP,TOKPA MANINGA,1667,25.63,NON,33
TONKPI,192,"SIPILOU ET YORODOUGOU, COMMUNES ET SOUS- PREFECTURES",47,14298,6588,46.08,84,6504,88,1.35,INDEPENDANT,SOPOUDEU ONGNEU SOLANGE,118,1.81,NON,33
TONKPI,192,"SIPILOU ET YORODOUGOU, COMMUNES ET SOUS- PREFECTURES",47,14298,6588,46.08,84,6504,88,1.35,INDEPENDANT,LOTTRO SABIAN VALLEY MINSOU,311,4.78,NON,33
TONKPI,192,"SIPILOU ET YORODOUGOU, COMMUNES ET SOUS- PREFECTURES",47,14298,6588,46.08,84,6504,88,1.35,INDEPENDANT,YORO LOUTY REBECCA,195,3.0,NON,33
TONKPI,193,"DALEU, DANANE, GBON-HOUYE, KOUAN-HOULE ET SEILEU, COMMUNES ET SOUS-PREFECTURES",240,64623,18599,28.78,715,17884,207,1.16,INDEPENDANT,AGIR ENSEMBLE POUR LE NIMBA,6685,37.38,OUI,33
TONKPI,193,"DALEU, DANANE, GBON-HOUYE, KOUAN-HOULE ET SEILEU, COMMUNES ET SOUS-PREFECTURES",240,64623,18599,28.78,715,17884,207,1.16,INDEPENDANT,TRAVAILLONS POUR BATIR DANANE,721,4.03,NON,33
TONKPI,193,"DALEU, DANANE, GBON-HOUYE, KOUAN-HOULE ET SEILEU, COMMUNES ET SOUS-PREFECTURES",240,64623,18599,28.78,715,17884,207,1.16,INDEPENDANT,ACTION SOLIDARITE POUR DANANE,729,4.08,NON,33
TONKPI,193,"DALEU, DANANE, GBON-HOUYE, KOUAN-HOULE ET SEILEU, COMMUNES ET SOUS-PREFECTURES",240,64623,18599,28.78,715,17884,207,1.16,INDEPENDANT,ENSEMBLE POUR LE DEVELOPPEMENT DE DANANE,2283,12.77,NON,33
TONKPI,193,"DALEU, DANANE, GBON-HOUYE, KOUAN-HOULE ET SEILEU, COMMUNES ET SOUS-PREFECTURES",240,64623,18599,28.78,715,17884,207,1.16,RHDP,"UNE COTE DIVOIRE EN PAIX, PROSPERE ET SOLIDAIRE",5597,31.3,NON,33
TONKPI,193,"DALEU, DANANE, GBON-HOUYE, KOUAN-HOULE ET SEILEU, COMMUNES ET SOUS-PREFECTURES",240,64623,18599,28.78,715,17884,207,1.16,INDEPENDANT,LA JEUNESSE DEBOUT POUR LE DEVELOPPEMENT,672,3.76,NON,33
TONKPI,193,"DALEU, DANANE, GBON-HOUYE, KOUAN-HOULE ET SEILEU, COMMUNES ET SOUS-PREFECTURES",240,64623,18599,28.78,715,17884,207,1.16,INDEPENDANT,AIDONS NOS PARENTS,108,0.6,NON,33
